Toyota,Corolla,2012,01748,Staff-NonExempt FT
Honda,Odyssey,2014,01748,Faculty Full-Time 
Mazda,Mazda 5,2009,01748,Staff-Exempt FT   
Audi,A4,2011,01748,Faculty Part-time 
Honda,Accord,2011,01748,Staff-NonComp     
Mini Cooper,Cooper,2011,01749,Staff-NonExempt FT
Saab,42983,1999,01749,Staff-NonExempt FT
Cadillac,Escalade,2010,01749,Staff-NonComp     
Honda,Civic,2004,01749,Staff-NonExempt FT
Hyundai,Elantra,2016,01749,Staff-Exempt FT   
Honda,Insight,2010,01749,Faculty Non-Comp  
Porsche,911,1987,01749,Faculty Part-time 
Saab,42981,2009,01752,Staff-Exempt FT   
Subaru,Forester,2014,01752,Staff-Exempt FT   
Mazda,Mazda 6,2012,01752,Faculty Full-Time 
Acura,TL,2012,01752,Staff-Exempt PT   
Mazda,Miata,2010,01754,Staff-Exempt FT   
Toyota,Corolla,2006,01754,Staff-Exempt FT   
Toyota,Venza,2014,01754,Staff-Exempt PT   
Audi,Q5,2011,01754,Faculty Full-Time 
Honda,Civic,2016,01754,Faculty Full-Time 
Subaru,Outback,2017,01754,Staff-Exempt FT   
Honda,CR-V,2012,01754,Faculty Part-time 
Nissan,Murano,2010,01754,Faculty Part-time 
Nissan,Murano,2010,01754,Faculty Part-time 
Subaru,Impreza,2015,01754,Faculty Part-time 
Toyota,Avalon,2007,01757,Staff-Exempt FT   
Honda,Civic,2005,01757,Staff-NonExempt FT
Saab,42981,2011,01757,Staff-NonExempt FT
Honda,Accord,1996,01757,Staff-NonExempt FT
Honda,Civic,2003,01760,Staff-Exempt FT   
Subaru,Outback,2008,01760,Faculty Full-Time 
Honda,Fit,2007,01760,Staff-Exempt FT   
Jeep,Patriot,2007,01760,Staff-Exempt FT   
Toyota,Prius,2008,01760,Staff-Exempt FT   
Nissan,Versa,2015,01760,Staff-Exempt FT   
Toyota,Prius,2007,01760,Staff-Exempt FT   
Volkswagen,Jetta,2007,01760,Staff-Exempt FT   
Honda,Civic,2015,01760,Staff-Exempt FT   
Nissan,Rogue,2015,01760,Staff-Exempt FT   
Toyota,Tacoma,2010,01760,Staff-Exempt FT   
Hyundai,Santa Fe,2015,01760,Faculty Full-Time 
Hyundai,Sonata,2013,01760,Staff-NonExempt FT
Subaru,Impreza,2014,01760,Faculty Full-Time 
Honda,CR-V,2010,01760,Staff-Exempt FT   
Hyundai,Genesis,2016,01760,Staff-Exempt FT   
Chevrolet,Malibu,2014,01760,Faculty Full-Time 
Volkswagen,Passat,2016,01760,Faculty Full-Time 
BMW,3-Series,2016,01760,Faculty Part-time 
Chevrolet,Volt,2017,01760,Staff-Exempt FT   
Nissan,Maxima,2003,01760,Staff-Exempt FT   
Honda,Pilot,2009,01760,Staff-Exempt FT   
Subaru,Legacy,2008,01760,Staff-Exempt FT   
Honda,Accord,2011,01760,Faculty Part-time 
Ford,C-MAX,2013,01760,Staff-Exempt FT   
Toyota,Highlander,2006,01760,Staff-Exempt FT   
Ford,Explorer,2004,01760,Staff-Exempt FT   
Chevrolet,Impala,2009,01760,Staff-Exempt FT   
Honda,CR-V,2004,01760,Faculty Full-Time 
Hyundai,Elantra,2011,01760,Faculty Full-Time 
Mazda,CX-9,2010,01760,Faculty Full-Time 
Honda,Fit,2015,01760,Faculty Full-Time 
Kia,Optima,2012,01760,Faculty Full-Time 
Mercedes Benz,Other,1986,01760,Faculty Part-time 
Hyundai,Sonata,2009,01760,Faculty Part-time 
Toyota,Corolla,2010,01760,Staff-Exempt FT   
Honda,CR-V,2014,01760,Faculty Part-time 
Honda,Accord,2017,01760,Faculty Part-time 
Toyota,Avalon,2014,01760,Faculty Part-time 
Honda,Fit,2013,01760,Faculty Part-time 
Subaru,Tribeca,2008,01760,Faculty Part-time 
Toyota,Prius,2012,01760,Faculty Part-time 
Toyota,Camry,2012,01760,Faculty Part-time 
BMW,X5,2006,01760,Faculty Part-time 
Acura,TL,2013,01760,Faculty Part-time 
Honda,Accord,2006,01760,Faculty Part-time 
BMW,3-Series,2016,01760,Faculty Part-time 
Honda,CR-V,2005,01760,Faculty Part-time 
GMC,Acadia,2015,01770,Staff-Exempt FT   
Lexus,RX-Series,2005,01770,Faculty Full-Time 
Toyota,Camry,2007,01772,Staff-Exempt FT   
Honda,Accord,2015,01772,Staff-Exempt FT   
Subaru,Outback,2015,01772,Staff-Exempt PT   
Tesla,Model S,2016,01772,Faculty Full-Time 
Volvo,V60,2014,01772,Faculty Part-time 
Toyota,Camry,2009,01773,Staff-Exempt FT   
Hyundai,Santa Fe,2011,01773,Faculty Full-Time 
Honda,CR-V,2014,01773,Faculty Full-Time 
Mazda,Mazda 3,2013,01773,Staff-Exempt FT   
Toyota,Sequoia,2014,01773,Faculty Full-Time 
Audi,S4,2012,01773,Faculty Full-Time 
Subaru,XV Crosstrek,2015,01773,Faculty Full-Time 
Toyota,Prius,2006,01773,Faculty Full-Time 
Kia,Rondo,2009,01775,Staff-NonExempt FT
Subaru,Outback,2005,01775,Faculty Full-Time 
Honda,Odyssey,2011,01776,Staff-Exempt FT   
Ford,Edge,2008,01776,Faculty Full-Time 
Jeep,Wrangler,2013,01776,Staff-Exempt FT   
Honda,CR-V,2013,01776,Staff-Exempt FT   
Toyota,Sienna,2015,01776,Staff-Exempt FT   
